Test Trajectory,Test Trajectory Timestep,Learner Trajectory,Learner Trajectory Timestep,Test Actions,Learner Actions,Test Rewards,Learner Rewards,Test Return,Learner Return
280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,23.192625761032104,23.192625761032104
280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,23.192625761032104,23.192625761032104
283_21_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,11,283_22_329_88_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,11,0_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,2_2_4_N/A_7_7_0_0_6_6_6_7_7_7_7_7_7_7_7_7_4,1.1196891069412231_1.0992014408111572_1.100222110748291_0.688542902469635_1.1263437271118164_1.3956716060638428_1.1356067657470703_1.0995838642120361_1.1394622325897217_1.1487038135528564_1.073228359222412_0.6774454116821289_1.1224772930145264_1.0676302909851074_1.099376916885376_0.6935321092605591_0.7022547721862793_1.366466999053955_0.7017669081687927_1.1237376928329468_0.6602702736854553,1.1354913711547852_0.6765979528427124_1.098854660987854_N/A_1.1066932678222656_1.0760207176208496_1.3620812892913818_1.105222225189209_1.1106213331222534_1.1487038135528564_1.073228359222412_0.6774454116821289_1.1224772930145264_1.0676302909851074_1.099376916885376_0.6935321092605591_0.7022547721862793_1.366466999053955_0.7017669081687927_1.1237376928329468_0.6602702736854553,21.34121459722519,20.108473658561707
283_21_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,13,283_22_329_88_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4,13,0_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,2_2_4_N/A_7_7_0_0_6_6_6_7_7_7_7_7_7_7_7_7_4,1.1199686527252197_1.0989980697631836_1.1002657413482666_0.6886394619941711_1.1266391277313232_1.3949841260910034_1.1357767581939697_1.099371075630188_1.1396753787994385_1.148545265197754_1.0730907917022705_0.6773948669433594_1.1206339597702026_1.0683958530426025_1.1003620624542236_0.6932689547538757_0.7022014856338501_1.367689847946167_0.6999859809875488_1.1246604919433594_0.6604394316673279,1.1333485841751099_0.6788280606269836_1.097905158996582_N/A_1.1068183183670044_1.0759608745574951_1.3622533082962036_1.1049600839614868_1.1110824346542358_1.148545265197754_1.0730907917022705_0.6773948669433594_1.1206339597702026_1.0683958530426025_1.1003620624542236_0.6932689547538757_0.7022014856338501_1.367689847946167_0.6999859809875488_1.1246604919433594_0.6604394316673279,21.340987384319305,20.107825815677643
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,10,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_7_7_7_7_7_7_7_7_7_4,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,0.6683809161186218_1.0981920957565308_0.673850953578949_1.1512045860290527_1.1430917978286743_1.0991215705871582_1.0995301008224487_0.6887683868408203_1.1264734268188477_1.3953170776367188_1.1357810497283936_1.1000347137451172_1.1398954391479492_1.1482858657836914_1.073162317276001_0.6783682107925415_1.1223478317260742_1.0666557550430298_1.1023085117340088_0.6932165622711182_0.7008936405181885_1.3697047233581543_0.7010287642478943_1.1243572235107422_0.6592272520065308,24.959198772907257,24.959198772907257
